misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
740,622440,1107,-26.09135493,2.094350981712341,-0.001314782164990902,0.7795013129711151
760,639240,1107,-24.404261239999997,2.0860229969024657,-0.0014039714820683002,0.43982053399085996
780,656040,1107,-27.517742669999993,2.0869985103607176,-0.00299910269677639,1.2715656727552413
800,672840,1108,-26.916722830000005,2.0953899383544923,-0.0001432478427886963,0.9121162384748459
820,689640,1109,-24.839435690000002,2.061192536354065,-0.0005160267231985926,2.8931923270225526
840,706440,1109,-24.47216156,2.081814408302307,-0.0024496909230947495,2.891131818294525
860,723240,1111,-25.67977204,2.0827388763427734,8.082576096057892e-05,2.5550814867019653
880,740040,1112,-24.990015839999998,2.0536380767822267,0.00044757798314094545,2.2621917009353636
900,756840,1112,-25.79427667,2.0690277338027956,-4.8669055104255676e-05,3.507929766178131
920,773640,1112,-22.786780000000004,2.0508178234100343,-0.0021532624028623103,1.88148335814476
940,790440,1113,-23.62590381,2.0050135493278503,-0.000477132061496377,1.1933090090751648
960,807240,1113,-24.73515235,2.1037343740463257,-0.0018806567415595055,1.7768296480178833
980,824040,1113,-24.83125386,2.0693679094314574,-0.004247727803885937,1.7243195652961731
1000,840840,1114,-23.608201779999998,2.0737329721450806,-0.0008731614798307419,1.7625672042369842
1020,857640,1114,-23.11130623,2.0682101964950563,-0.0008609879761934281,5.123714929819107
1040,874440,1115,-23.810886670000006,2.0016093492507934,-0.0031105916947126388,1.377129817008972
1060,891240,1115,-23.13922728,2.0884161949157716,-0.0009285049512982368,1.3082802414894104
1080,908040,1115,-25.692586829999996,2.0875938177108764,-0.00039862486300989985,1.325185912847519
1100,924840,1116,-26.52323443,2.0637675523757935,-0.002019491046667099,1.4812924265861511
1120,941640,1116,-26.432286060000003,2.059096026420593,-0.0007799088954925538,2.046256759762764
1140,958440,1117,-23.235051530000007,2.0894189834594727,-0.0008957967802416533,2.6916759490966795
1160,975240,1117,-24.9511338,2.1014034271240236,0.0006423689424991608,1.234256649017334
1180,992040,1118,-25.632897379999996,2.110790657997131,-0.0043280690908432005,1.5878602206707
1200,1008840,1118,-25.54807194,2.093346047401428,-0.001580120762810111,1.357313323020935
1220,1025640,1119,-25.492855970000004,2.0681416749954225,-0.001115388423204422,1.790577507019043
1240,1042440,1119,-26.071405270000003,2.043715262413025,0.0005489550530910492,1.2761121213436126
1260,1059240,1119,-25.63873281,2.1308447122573853,-0.0021342622116208077,1.377674788236618
1280,1076040,1120,-24.99008894,2.060413098335266,-0.0010508224368095398,2.4123172760009766
1300,1092840,1120,-24.368911060000002,2.058129596710205,0.0006021901965141297,2.6890374422073364
1320,1109640,1120,-27.81616514,2.08394832611084,-0.0023276032879948616,1.3079295754432678
1340,1126440,1120,-25.409062400000003,2.058361601829529,-0.00036167651414871217,2.6469981521368027
1360,1143240,1121,-23.872535289999995,2.0651038646698,-0.0020827777683734895,3.3567748188972475
1380,1160040,1121,-26.460991980000003,1.9623381972312928,-0.0033422509208321572,0.600797238945961
1400,1176840,1122,-26.369537989999998,1.902042841911316,-0.0004862923175096512,1.5587113708257676
1420,1193640,1122,-25.682120120000004,1.9553009629249574,-0.000738649070262909,1.2672548472881318
1440,1210440,1122,-24.987776269999998,1.9943726778030395,0.0022244501858949663,1.4312542974948883
1460,1227240,1122,-26.752956400000002,1.9034770250320434,-0.0002221209928393364,2.4947305798530577
1480,1244040,1123,-24.27198796,1.8912927865982057,-0.0019402025267481805,1.7089937210083008
1500,1260840,1123,-25.078548580000003,1.9432783007621766,-0.001622267416678369,1.935632625222206
1520,1277640,1123,-24.612642359999995,1.9430375456809998,-0.0018101089168339967,0.7179501235485077
1540,1294440,1123,-24.60145626,1.967812979221344,-0.0009473290294408799,1.3178322196006775
1560,1311240,1122,-25.603401490000007,1.9200101017951965,-0.002719605714082718,1.110742461681366
1580,1328040,1123,-25.413467660000006,2.047539758682251,-0.001630103832576424,1.4957563161849976
1600,1344840,1123,-24.765378050000002,1.9359875917434692,-0.0018140289932489396,1.7951651751995086
1620,1361640,1123,-23.678421350000004,2.031875157356262,-7.871231064200401e-05,1.7051844716072082
1640,1378440,1123,-24.667793879999998,1.9851237416267395,-7.943511009216309e-05,2.021578645706177
1660,1395240,1123,-24.390759980000002,2.041663312911987,-0.002171797212213278,1.148805820941925
1680,1412040,1124,-25.770294259999996,1.9831841826438903,-0.001060931384563446,2.09504976272583
1700,1428840,1124,-23.831724229999995,1.9583988070487977,-0.0008608130738139153,3.140791177749634
1720,1445640,1124,-24.405927769999998,1.9312440872192382,-0.0013313658535480499,1.1140093743801116
1740,1462440,1124,-23.996041670000004,1.893344247341156,-0.0014940110966563224,0.8534156620502472
1760,1479240,1124,-26.184409990000002,1.9836222529411316,-1.3183429837226868e-05,0.8687107503414154
1780,1496040,1124,-26.0619366,1.9317983031272887,-0.0006332054734230041,3.0097267270088195
1800,1512840,1124,-25.171618869999996,1.9480964183807372,-0.0012865961529314519,1.5958373963832855
1820,1529640,1125,-25.406307799999993,2.000407874584198,-0.0006905764341354371,1.169443929195404
1840,1546440,1125,-24.033238569999998,1.989251708984375,4.1163340210914615e-05,1.41627596616745
1860,1563240,1125,-25.134976930000004,1.9696464538574219,-0.001501502376049757,1.107346510887146
1880,1580040,1125,-24.195465679999998,1.9855741620063783,0.00010566003620624543,0.9051797807216644
1900,1596840,1126,-24.370941899999995,1.9493124127388,-0.001448777224868536,1.6426421225070953
1920,1613640,1126,-24.554629349999995,1.9028422713279725,-0.0010489653795957565,0.4665548473596573
1940,1630440,1126,-24.22763891,1.924492084980011,-0.00707400431856513,1.0680437624454497
1960,1647240,1126,-26.25273118,1.97295423746109,-0.0002881471067667007,1.0861790746450424
1980,1664040,1126,-27.81404771,1.9481387495994569,-0.00037632822059094904,2.1801962912082673
2000,1680840,1126,-28.512146010000002,1.9384715557098389,-0.0015737786889076233,1.1575829684734344
2020,1697640,1126,-27.429657189999997,1.940388059616089,-0.0029696565121412276,1.7225653409957886
2040,1714440,1127,-28.16733643,2.0073137998580934,-0.000533076940337196,1.1975864171981812
2060,1731240,1127,-27.48798908,1.8903513431549073,-0.0002577744424343109,1.4424499332904817
2080,1748040,1127,-26.872817329999993,2.0019456267356874,-0.0019076511263847352,1.9629831910133362
2100,1764840,1127,-25.482260089999997,1.9703468680381775,-0.002758760191500187,1.802514261007309
2120,1781640,1127,-26.16043479,1.8815954208374024,5.8818608522415165e-06,1.4856775641441344
2140,1798440,1127,-25.053991330000002,1.7927441000938416,-0.0012764427810907364,0.8952289640903472
2160,1815240,1128,-24.52199414,1.9574180364608764,-0.001480959914624691,1.6192784070968629
2180,1832040,1128,-24.76512316,1.9109768509864806,-0.0023202454671263696,1.1772674918174744
2200,1848840,1128,-23.88667409,1.9692547082901002,-0.0022132586687803268,1.5398192644119262
2220,1865640,1129,-23.366366659999994,1.9947939753532409,-0.0013166777789592743,1.594720369577408
2240,1882440,1129,-24.72070348,1.9998874902725219,-0.002547104377299547,1.2903033792972565
2260,1899240,1129,-24.699560700000003,1.9995264410972595,-0.0018472646363079548,1.1495701193809509
2280,1916040,1129,-26.55153321,2.0721993446350098,-0.0019306480884552003,2.937742269039154
2300,1932840,1129,-27.67187355,1.9938920855522155,-0.0003561373334378004,2.8696483373641968
2320,1949640,1129,-26.75634585,1.9203378319740296,-0.003046803828328848,0.936002665758133
2340,1966440,1130,-24.76072417,1.9869669198989868,-0.0004082653671503067,1.3891478776931763
2360,1983240,1130,-24.11194284,1.961743462085724,-0.0008953509852290154,2.86513352394104
2380,2000040,1130,-25.86449865,1.996794092655182,-0.0051017459481954575,0.7262242019176484
2400,2016840,1130,-28.079096959999994,2.0570081949234007,-0.0006733007729053497,3.865737295150757
2420,2033640,1131,-25.870253179999995,2.064512920379639,-0.002283013891428709,2.2346000552177427
2440,2050440,1131,-25.148961180000004,1.9659409165382384,-0.0007479966618120671,1.7788617074489594
2460,2067240,1131,-26.37880521,1.8732463002204895,-0.0014667811803519726,1.7296984255313874
2480,2084040,1131,-24.600906890000005,1.8118078589439393,-0.0004440275952219963,1.1654357612133026
2500,2100840,1131,-25.162321939999998,1.984169030189514,-0.00299737430177629,0.5924818634986877
2520,2117640,1131,-25.756801239999994,1.917689895629883,-0.0027988804969936608,1.3762633860111237
2540,2134440,1131,-27.99105708,1.9275750637054443,-0.001013452373445034,1.1598012030124665
2560,2151240,1131,-28.85109705,1.54740571975708,-0.0004434306174516678,2.231847494840622
2580,2168040,1132,-28.367304339999997,1.8868229150772096,-0.0017834377009421586,1.4385742902755738
2600,2184840,1132,-26.31982196,1.7631453990936279,-0.004047433286905289,2.4521610915660856
2620,2201640,1132,-26.388853419999997,1.7582279205322267,-0.0012675439938902855,1.6106878519058228
2640,2218440,1132,-26.95348733,2.0262407541275023,-0.0002922019921243191,2.655799698829651
2660,2235240,1132,-26.5540944,1.9528683304786683,-0.0006568863987922669,1.2792757868766784
2680,2252040,1132,-25.4121302,2.0116169810295106,-7.11667351424694e-05,2.324990117549896
2700,2268840,1132,-25.50235119,2.026828670501709,-0.0025684144347906113,1.1179175198078155
2720,2285640,1132,-27.2953509,1.911825919151306,-0.002615627273917198,2.5067787051200865
2740,2302440,1132,-24.630974900000002,1.9457229495048523,-0.0018859754782170057,1.2279048651456832
2760,2319240,1132,-23.858794019999994,1.9287854433059692,-0.00014694444835186004,1.1721716552972794
2780,2336040,1133,-24.307467989999996,1.9223288655281068,-0.0017322402447462082,1.5768264889717103
2800,2352840,1133,-24.70962665,1.9426027894020081,-0.0012755893170833589,2.119018280506134
2820,2369640,1132,-24.426694709999996,1.9287923932075501,-0.004195605497807264,1.8324846148490905
2840,2386440,1133,-26.287257169999997,1.9743958234786987,-0.0023842273745685815,1.0241379022598267
2860,2403240,1133,-25.67414503,1.9113848328590393,-0.0023439718410372735,2.747477340698242
2880,2420040,1132,-23.9764241,1.9770044445991517,-0.00487678237259388,0.9101362198591232
2900,2436840,1132,-25.978818779999997,1.9715281963348388,-0.0017316922545433044,1.3771567165851593
2920,2453640,1132,-26.692763799999998,1.9533226370811463,0.0003798757679760456,1.5218570202589035
2940,2470440,1132,-24.271280360000002,1.8749924421310424,-0.0015344577375799417,3.0516889333724975
2960,2487240,1132,-25.241835839999993,1.8275702595710754,-0.003778669587336481,1.0471848666667938
2980,2504040,1132,-25.9076659,1.8738491773605346,-0.0007320715114474297,1.090972289443016
3000,2520840,1132,-25.7551368,1.944153356552124,0.00036451201885938643,2.1190298199653625
3020,2537640,1132,-26.13938089,1.9766973733901978,-0.0018874498084187508,1.6275438621640206
3040,2554440,1132,-27.08430875,1.9103057026863097,-0.0018069922924041748,3.1333804070949554
3060,2571240,1132,-27.521557539999993,1.9039247393608094,-0.003307230770587921,0.7513787508010864
3080,2588040,1133,-25.710866560000003,1.9997931957244872,-0.0042896421626210214,3.3761086374521256
3100,2604840,1133,-25.66093527,1.9291310071945191,-0.0002742834389209747,1.664948832988739
3120,2621640,1133,-25.86927768,1.915732479095459,-0.001995084434747696,0.9351615488529206
3140,2638440,1133,-26.91500767,1.9169073939323424,-0.0005373738706111908,0.8483171075582504
3160,2655240,1133,-26.881564820000005,1.969183075428009,-0.00010335929691791534,2.2264938235282896
3180,2672040,1133,-25.562616949999995,1.9469537615776062,-0.0012695080484263598,2.3507313191890717
3200,2688840,1134,-25.825765690000004,1.8947906732559203,-0.0021776465699076654,1.5321457505226135
3220,2705640,1134,-27.741333330000003,1.9326224684715272,0.0008605517446994782,1.1664421916007996
3240,2722440,1134,-26.073096919999998,1.8715901732444764,-0.0009354598820209503,1.7903138935565948
3260,2739240,1134,-23.424268689999998,1.915551769733429,-0.002308819955214858,1.4897495329380035
3280,2756040,1134,-24.794588089999998,1.845078694820404,-0.0017799008637666702,1.8198011457920074
3300,2772840,1134,-24.33695549,1.8348331689834594,-0.00017003491520881653,1.2571187376976014
3320,2789640,1134,-23.809890320000004,1.9348614454269408,-0.0016123641282320023,1.9669469624757767
3340,2806440,1134,-24.189870029999998,1.869757080078125,0.0002189312130212784,1.3448215812444686
3360,2823240,1134,-23.288449380000003,1.8314342975616456,-0.0009297931857872755,1.7542566627264022
3380,2840040,1134,-23.804309820000004,1.8342880725860595,-0.002927560731768608,3.064148187637329
3400,2856840,1135,-24.120271250000005,1.8653600811958313,3.6616064608097074e-05,1.4965477764606476
3420,2873640,1135,-24.909918320000006,1.865538740158081,-0.0012581964954733848,1.4609472572803497
3440,2890440,1135,-24.853544659999997,1.930562937259674,-0.0022670798003673553,1.8995548784732819
3460,2907240,1135,-24.259152740000005,1.907126748561859,-0.002169831935316324,2.2905324518680574
3480,2924040,1135,-23.533516950000003,1.9427441716194154,-0.002137632668018341,0.8282605439424515
3500,2940840,1135,-25.001839439999998,1.8460241198539733,-0.002209836896508932,0.9201844602823257
3520,2957640,1135,-25.50512245,1.9604974031448363,-0.003968918323516845,1.3713538646697998
3540,2974440,1135,-26.04107601,1.9445379495620727,-9.014979004859925e-05,0.8297623246908188
3560,2991240,1135,-25.544873430000003,1.96571444272995,0.0017294535879045724,1.789175170660019
3580,3008040,1135,-23.476400260000002,1.9351049304008483,-0.001596929132938385,1.4103648841381073
3600,3024840,1135,-25.514629440000004,1.9246628761291504,-0.0003252275288105011,2.4840571165084837
3620,3041640,1135,-24.92712097,1.8581457614898682,-0.0010850315913558007,1.2453265368938446
3640,3058440,1135,-24.748983649999996,1.8982816457748413,-0.0020718276500701904,1.0814844250679017
3660,3075240,1135,-22.905654779999995,1.9446828365325928,0.0017533928155899047,3.2514443516731264
3680,3092040,1135,-25.097500829999998,1.9310051083564759,-0.0019162350334227085,1.5356315940618515
3700,3108840,1136,-28.11294925,1.9244078397750854,-0.0005003631114959717,7.084329497814179
3720,3125640,1136,-26.92957605,1.8963324427604675,-0.0006490647792816162,1.7728841781616211
3740,3142440,1136,-24.481557000000002,1.922996461391449,-0.0026049694046378137,0.9431173115968704
3760,3159240,1136,-24.756030319999994,1.9256624460220337,-0.002794475853443146,0.5374136567115784
3780,3176040,1136,-23.90477559,1.9539779424667358,6.279274821281433e-05,1.9620894014835357
3800,3192840,1136,-25.072364479999997,1.9727618217468261,-0.004564287140965462,2.201815438270569
3820,3209640,1136,-24.77819772999999,1.9696569919586182,-0.0011786560527980328,2.102134346961975
3840,3226440,1136,-25.634469749999997,2.016247820854187,-0.0027503237128257752,0.7109442830085755
3860,3243240,1136,-26.797136470000005,1.939291274547577,-0.0019958427175879477,2.4005275070667267
3880,3260040,1136,-24.605826629999996,1.9210822582244873,-0.002176230098120868,1.7430476665496826
3900,3276840,1136,-27.55554084,1.8663302659988403,0.0017446219921112061,1.053015375137329
3920,3293640,1136,-27.146740839999996,1.9782576322555543,-0.002664447017014027,1.2712291836738587
3940,3310440,1136,-25.25897939,1.9642708063125611,-0.0025975609896704555,1.131061452627182
3960,3327240,1137,-26.797385189999996,1.8757830739021302,-0.0042584671638906,2.1978827893733976
3980,3344040,1137,-28.891898200000004,1.924676275253296,-0.0014057901164051146,0.5338628470897675
4000,3360840,1137,-27.19400832,1.7988845705986023,-0.0011380563490092754,2.1961305260658266
4020,3377640,1137,-26.502841559999997,1.780507242679596,-0.0026350725442171098,1.234412521123886
4040,3394440,1137,-27.522790129999997,1.8731398344039918,-0.003549102693796158,0.42707318514585496
4060,3411240,1137,-27.513203320000006,1.7996835350990295,-0.002266397955827415,1.8980395823717118
4080,3428040,1137,-26.630463099999997,1.8561444759368897,-0.001986041700001806,0.9709173560142517
4100,3444840,1137,-27.39770577,1.8171712279319763,-0.0012207143008708954,1.474328887462616
4120,3461640,1137,-27.531749499999997,1.8939284682273865,-0.002932862192392349,4.290667760372162
4140,3478440,1137,-24.016886,1.9145150423049926,-0.0011323884129524231,5.057223980128765
4160,3495240,1137,-25.255523280000006,1.9005401968955993,-0.0011337846517562866,3.0842676401138305
4180,3512040,1137,-25.945960460000002,1.9047730207443236,-0.0011265212669968605,1.791290146112442
4200,3528840,1137,-24.819173300000003,1.9486979484558105,-0.0018790617119520902,3.183125364780426
4220,3545640,1137,-24.424556049999993,1.9424721121788024,-0.0024972613900899887,0.19556185901165007
4240,3562440,1138,-23.979029349999998,1.9075314402580261,-0.0010528169572353364,1.6341624557971954
4260,3579240,1138,-24.77923441,1.9092116713523866,-0.0008632645010948181,1.950728216767311
4280,3596040,1138,-26.632039150000004,1.9776849627494812,-0.004112272057682276,1.3909838795661926
4300,3612840,1138,-26.161388140000003,1.921874499320984,-0.0017159723443910479,0.8057077944278717
4320,3629640,1138,-25.709667820000004,1.9456549048423768,-0.00252431626431644,1.3390802800655366
4340,3646440,1138,-22.648166570000004,2.022759771347046,-8.691437542438508e-05,1.2744063973426818
4360,3663240,1138,-23.98529884,2.0032235026359557,0.0011455535888671875,2.666823148727417
4380,3680040,1138,-26.184880769999996,1.9923534631729125,-0.0009238510858267546,2.1487846851348875
4400,3696840,1138,-26.604244150000003,1.7630168318748474,-0.0004778888076543808,1.4829211235046387
4420,3713640,1138,-25.161426119999998,1.796461582183838,0.0017870493233203889,1.9382275581359862
4440,3730440,1139,-25.12771725,1.8739505171775819,-0.0041444066911935805,0.5783066421747207
4460,3747240,1139,-26.815010079999997,1.8582968354225158,-0.0016908468678593636,3.214652697741985
4480,3764040,1139,-25.654868989999997,1.841643738746643,-0.001544889248907566,1.7524191081523894
4500,3780840,1139,-25.513700460000006,1.9243140935897827,-0.0037767191417515276,0.39157010763883593
4520,3797640,1139,-25.509619389999997,1.9708142042160035,-0.0030419748276472093,1.5281397998332977
4540,3814440,1139,-25.51449185,2.0231388449668883,-0.003249569237232208,0.8273936823010445
4560,3831240,1139,-26.88054786,1.901862347126007,-0.0025622086599469186,1.2590320646762847
4580,3848040,1139,-27.13353817,1.9271045923233032,-0.0005041129887104034,1.99775470495224
4600,3864840,1140,-27.88043733,1.9197176933288573,-0.002254229038953781,1.4997694671154023
4620,3881640,1140,-29.280827389999995,1.9547653794288635,-0.0021307251416146757,0.9594266071915627
4640,3898440,1140,-28.82381917,1.9724816679954529,3.390833735466004e-05,1.8902427315711976
4660,3915240,1140,-29.288263239999996,1.9007053613662719,-0.0012913275510072707,1.5081969678401947
4680,3932040,1140,-29.200177980000003,1.9743097305297852,-0.0016796164214611053,0.6603672593832016
4700,3948840,1140,-27.82720519,2.0113481760025023,-0.007504106685519219,0.7692189171910286
4720,3965640,1140,-26.675842950000007,1.9251288294792175,0.000983170885592699,1.9360571324825286
4740,3982440,1140,-25.937259040000004,1.9539593696594237,-2.360418438911438e-05,3.3417880058288576
4760,3999240,1140,-23.98614438,1.9011284589767456,-0.002735328674316406,6.193021845817566
4780,4016040,1140,-24.97046175,1.9291976690292358,0.0012257203459739685,1.8026606678962707
4800,4032840,1141,-26.225871400000003,1.967541766166687,-0.000248074671253562,0.5316360056400299
4820,4049640,1141,-26.861211109999996,1.9124930143356322,-0.0005719659850001336,2.473663306236267
4840,4066440,1141,-25.309462609999997,1.9537826776504517,-0.000364208035171032,0.7468965321779251
4860,4083240,1141,-27.5916134,1.8732226490974426,0.0012151136994361877,1.0720557510852813
4880,4100040,1141,-25.656485700000005,1.8379295825958253,-0.0006915006786584854,2.605680561065674
4900,4116840,1141,-24.45822973,1.8577824831008911,-0.0030308015644550323,3.23573260307312
4920,4133640,1141,-23.381980110000004,1.8467793464660645,-0.001121957111172378,0.6903323054313659
4940,4150440,1141,-24.564504669999998,1.957012152671814,0.00039351582527160647,3.432845151424408
4960,4167240,1141,-25.69682878,1.9067354321479797,-0.003214159142225981,1.5743069052696228
4980,4184040,1141,-24.92509689,1.8684362649917603,-0.0008693176321685314,1.2992106080055237
5000,4200840,1141,-26.800676169999996,1.923314666748047,-0.0005185995250940323,1.8431049704551696
5020,4217640,1141,-26.367259569999998,1.9103807210922241,0.00018389672040939332,2.1175887137651443
5040,4234440,1142,-25.08567497,1.9249387383460999,-0.00012118769045628141,3.681336498260498
5060,4251240,1142,-25.521731160000005,1.9428578972816468,-0.0003821149468421936,2.086100858449936
5080,4268040,1142,-23.773109590000004,1.9335483193397522,-0.006115633994340897,0.31357759386301043
5100,4284840,1142,-25.644667419999998,1.894449770450592,-0.0035438306629657747,2.9499345123767853
5120,4301640,1142,-25.394199329999996,1.9091110825538635,-0.003480195626616478,4.269603157043457
5140,4318440,1142,-25.591012120000006,1.937534010410309,-0.0021652307827025653,0.8567735135555268
5160,4335240,1142,-25.87154803,1.9249398827552795,-0.0014470696449279785,2.0796915531158446
5180,4352040,1142,-25.751770809999996,1.9385227799415587,0.0011734781786799432,2.27938252389431
5200,4368840,1142,-27.15184444,1.9214503526687623,-0.0015315314289182425,1.6819289565086364
5220,4385640,1142,-24.790025619999998,1.9349819540977478,-0.0015781105495989323,1.4257415652275085
5240,4402440,1142,-25.387523909999995,1.9442171335220337,-0.0032656590919941664,1.525450098514557
5260,4419240,1142,-27.35850511,1.9488415598869324,0.0012801133096218109,2.307834428548813
5280,4436040,1142,-27.764820720000003,1.9510838747024537,-0.0015586428344249725,1.524744200706482
5300,4452840,1143,-28.072033349999998,1.8811033606529235,-0.003580824099481106,1.036446398496628
5320,4469640,1143,-28.32582586,1.7983072876930237,0.0005776828154921531,0.6383293956518173
5340,4486440,1143,-27.31905084,1.8924707770347595,-0.0004993029113393276,2.357054889202118
5360,4503240,1143,-27.329506209999998,1.9271783471107482,9.510386735200883e-06,2.475289982557297
5380,4520040,1143,-28.56199159,1.956782865524292,0.00030200183391571045,0.527411763370037
5400,4536840,1143,-27.71032101,1.888314414024353,-0.004382722428999841,0.7016629457473755
